name,balance,num_cards,marital_status,tertiary_educated,success
Paul Robertson,-291417,19,divorced,false,false
William George,-281603,7,single,true,false
William Pixi,-243865,0,married,true,true
Thomas Ousterhout,-197666,3,married,true,true
Peter Wesley,-225509,15,divorced,true,false
Sonny Ornstein,-249750,6,married,false,true
Zach Ousterhout,-42656,17,divorced,false,false
Clive Hally,-90511,3,married,true,false
Peter Pixi,-115560,20,divorced,false,false
John Field,-248553,17,married,false,false
Richard Stallman,-300403,6,single,true,true
Clive Lister,-139936,2,divorced,true,false
John Wesley,-288431,7,married,false,false
Maryam Clarke,-170664,2,married,false,true
Maryam Ousterhout,-339275,3,single,false,false
Annie Levy,-42776,1,married,true,false
Bob Stallman,-240478,15,divorced,true,true
Sonny Field,-52300,12,single,false,true
Sonny Ali,-345084,2,divorced,true,false
Sonny Stallman,-185383,2,married,true,true
James Stallman,-231806,5,divorced,true,false
Richard Wesley,-300602,15,single,true,true
Franklin Olsen,-195195,17,divorced,false,false
William Ousterhout,-758,7,divorced,false,true
Zeb Ousterhout,-264223,3,divorced,false,false
Thomas George,-138140,7,single,false,false
Paul Wesley,-95131,5,divorced,false,false
Clive Olsen,-44190,2,divorced,false,true
Franklin Ousterhout,-223909,12,married,true,false
Peter George,-281082,7,married,true,true
Richard Clarke,-158191,5,married,true,false
William Field,-218690,5,divorced,false,false
John Stallman,-31830,17,divorced,true,false
Clive Ornstein,-158159,16,divorced,true,false
Zach Stallman,-195733,20,married,false,true
Nerris Field,-288435,2,married,true,true
Peter Ali,-238882,7,married,false,true
Ali Ousterhout,-205017,0,married,true,true
David Clarke,-80441,18,married,true,true
Clive Levy,-92013,0,single,false,false
Paul Stallman,-37761,19,single,true,false
Nerris George,-179269,16,single,false,false
James Wesley,-76369,10,married,false,false
Bob Lister,-215632,2,single,false,true
Daniel Robertson,-289262,9,married,false,false
Paul Harold,-24578,3,single,false,false
Thomas Ornstein,-139845,10,divorced,true,true
Nerris Hardy,-324470,6,married,false,true
Bob Ornstein,-191601,9,single,false,false
Nerris Wesley,-314456,6,single,false,false
John Hally,-185140,16,married,true,false
Clive Hardy,-250216,20,married,true,true
Franklin Ornstein,-164380,20,married,true,false
Sonny Pixi,-244537,15,single,false,true
Daniel Olsen,-184474,16,divorced,true,false
John Ousterhout,-212545,9,divorced,true,true
Peter Hardy,-207097,2,divorced,true,false
Richard Stallman,-153044,10,single,false,true
Bob George,-190704,11,married,false,true
Franklin Field,-196056,9,single,false,true
Sonny Wesley,-187934,11,divorced,true,false
Peter Ousterhout,-299313,13,divorced,false,false
James Hally,-32727,15,married,false,true
Maryam Hally,-87487,8,divorced,true,true
Bob Field,-15184,8,single,false,true
James Ornstein,-264625,18,married,false,true
Nerris Clarke,-123189,10,divorced,true,true
Bob Hardy,-153543,10,divorced,false,true
Nerris Clarke,-181688,12,married,true,false
Clive Robertson,-28531,5,single,true,true
James Lister,-76439,2,single,true,true
Zach Ornstein,-212389,19,divorced,true,false
Franklin Lister,-248304,16,divorced,true,false
Maryam Hally,-347312,1,married,true,false
Richard Stallman,-17838,19,married,false,true
Peter Levy,-158130,3,single,false,false
Clive Lister,-312358,1,married,true,false
William Clarke,-51935,1,married,false,false
Zeb Harold,-277741,17,single,false,true
Nerris Harold,-220600,10,divorced,true,false
Nerris Stallman,-313671,20,married,false,true
Daniel Stallman,-131684,10,married,false,false
David Clarke,-211796,8,married,false,false
Annie Clarke,-76041,4,divorced,true,true
Daniel Levy,-233544,16,single,false,false
Zeb Pixi,-213919,9,divorced,false,false
Zeb Ornstein,-29859,10,married,false,false
Peter Lister,-254887,12,single,false,false
Zeb Field,-236874,17,single,true,true
John Ornstein,-167122,5,single,false,true
Ali Hally,-202557,4,married,false,false
Franklin Levy,-208212,11,married,false,true
Franklin Ousterhout,-326926,6,single,true,true
James Ornstein,-341283,14,divorced,true,false
Franklin Ousterhout,-230096,7,single,true,true
John Stallman,-179490,3,married,false,true
Maryam Robertson,-323338,13,married,false,true
Nerris Robertson,-34328,17,divorced,true,false
Nerris Hally,-198351,4,single,true,true
Paul Pixi,-156545,6,married,false,true
Thomas Levy,-252846,13,married,false,false
Clive Olsen,-150723,19,married,true,true
Richard Ousterhout,-333946,2,married,false,true
James Wesley,-59374,16,divorced,true,false
William Wesley,-87085,14,single,false,false
Maryam Ornstein,-97256,3,divorced,false,false
Nerris Hally,-206856,14,single,false,false
Peter Ali,-342337,1,married,false,true
William Hardy,-232999,19,married,true,false
Richard Hally,-323238,9,single,true,true
Ali Clarke,-83329,3,divorced,false,false
Zeb Ornstein,-185621,14,divorced,true,false
Thomas Ali,-295008,9,married,false,false
William Stallman,-178209,15,divorced,false,true
Ali Harold,-109548,15,married,false,false
James Ornstein,-228093,12,divorced,true,true
Peter Levy,-253693,19,married,false,false
Franklin Levy,-180493,20,divorced,false,true
Bob Ousterhout,-106388,11,single,false,true
David George,-248025,3,single,false,false
Zeb Hardy,-304892,14,divorced,false,false
Zeb Ornstein,-147717,7,married,true,true
Nerris Olsen,-116055,4,single,true,true
Zach Ousterhout,-197513,9,divorced,true,false
Zeb Hardy,-80028,14,divorced,true,true
Bob Levy,-321357,16,married,true,false
John Ali,-331037,17,married,false,true
Annie Hardy,-71997,9,married,true,true
James Wesley,-238026,10,divorced,false,true
Franklin Stallman,-117717,7,divorced,true,true
Richard Harold,-339636,16,divorced,false,true
Thomas Robertson,-304380,5,single,true,true
James Stallman,-232269,0,single,true,false
Clive Harold,-180147,13,single,true,true
Zach Field,-213174,4,divorced,false,false
Richard Hardy,-267975,19,married,true,true
Maryam Olsen,-193018,7,single,true,false
Daniel Olsen,-288522,20,single,false,false
Richard Ousterhout,-257881,16,single,true,false
William Olsen,-111213,16,married,true,false
John Hally,-306420,5,married,false,true
Thomas Pixi,-272472,19,single,false,false
Daniel Ousterhout,-175639,3,single,true,false
Richard Hardy,-253697,15,single,true,true
Paul Clarke,-104811,5,married,false,true
David Ornstein,-322437,19,divorced,true,true
Franklin Ali,-250765,12,divorced,false,false
Peter Ousterhout,-82778,12,married,false,true
Paul George,-9400,4,divorced,false,false
Daniel Stallman,-61637,1,divorced,true,false
Annie Wesley,-214227,13,single,false,true
Thomas Stallman,-343064,2,single,true,false
Nerris Pixi,-126324,19,married,true,false
Bob Ornstein,-146294,14,married,true,true
Nerris Lister,-328759,5,divorced,false,false
Sonny Ousterhout,-287661,7,single,false,false
John Levy,-203659,5,married,false,true
Daniel Wesley,-237318,10,divorced,true,false
Richard Harold,-20282,10,divorced,true,false
Thomas Ali,-98873,11,divorced,false,true
Zach Ornstein,-270348,19,divorced,false,false
Thomas Robertson,-321479,20,single,false,false
Annie Ousterhout,-136963,18,single,false,false
John Lister,-282550,18,single,true,true
Paul Hardy,-104379,0,married,true,false
William Hardy,-10490,17,single,false,false
Sonny Robertson,-293346,5,married,false,false
Daniel Wesley,-28025,12,divorced,false,false
Bob Harold,-44721,13,married,false,false
Daniel George,-286025,19,single,true,true
Daniel George,-324408,4,single,false,false
Zach Robertson,-128688,7,single,true,false
Richard Hally,-271691,8,single,true,true
Nerris Ornstein,-159615,18,married,false,false
John Lister,-58735,10,married,false,true
Maryam Stallman,-143057,4,single,false,true
James Clarke,-261828,4,single,false,true
Franklin Harold,-137475,6,married,true,true
Zeb Lister,-7232,7,married,false,false
Daniel George,-7671,6,married,false,true
Franklin Robertson,-34498,13,divorced,true,false
Franklin Harold,-8954,13,single,true,true
David Wesley,-115696,9,divorced,true,true
Franklin Field,-229583,1,married,false,true
James Field,-18042,2,married,false,true
Nerris George,-282448,15,divorced,true,false
Annie Field,-164407,13,single,true,false
Ali Ali,-226287,7,single,false,true
Daniel Lister,-254458,4,married,true,true
James Levy,-285695,16,divorced,false,true
Peter Ornstein,-126744,16,single,true,true
John Olsen,-94860,5,divorced,false,true
Clive Olsen,-36533,18,divorced,false,true
William Levy,-120228,16,married,false,true
David Wesley,-259976,3,divorced,true,false
Sonny Hardy,-121249,14,married,true,false
Ali Lister,-295216,9,single,true,false
Franklin Ousterhout,-39854,8,single,false,false
Sonny Wesley,-324884,8,single,false,true
Thomas Clarke,-164395,4,single,false,true
Daniel Harold,-32537,18,single,true,false
Nerris Clarke,-125615,0,single,false,false
John Ali,-201288,2,married,false,true
William Robertson,-88520,16,divorced,true,false
Zeb Lister,-163991,13,married,false,false
Annie Lister,-246792,8,single,false,false
Thomas Ornstein,-338485,1,single,false,false
Maryam Lister,-182369,19,divorced,true,false
Annie George,-191463,1,single,true,true
William Field,-281600,9,divorced,false,false
Thomas Hardy,-230431,6,married,true,false
William Ali,-19506,16,single,false,true
William Wesley,-134628,1,divorced,false,true
Bob Robertson,-173473,4,single,true,true
Thomas Robertson,-83581,1,single,false,false
Thomas Harold,-226000,3,married,true,true
Thomas Ousterhout,-226277,17,married,true,true
Franklin Lister,-334164,13,single,false,true
Nerris Robertson,-20279,13,single,true,false
David Ornstein,-131469,17,single,false,false
Clive Ornstein,-319999,0,single,false,true
William Pixi,-79330,4,divorced,false,true
Ali Ousterhout,-72489,17,single,true,false
Annie Ousterhout,-138948,11,married,false,false
John Lister,-196732,20,divorced,false,false
Paul Clarke,-51763,7,single,true,false
Thomas Olsen,-210166,15,single,true,false
Paul Field,-304659,18,single,false,true
John Stallman,-226151,18,single,false,false
David Clarke,-56924,9,married,false,false
Maryam Ali,-176496,0,single,false,false
David Ali,-338039,10,divorced,true,false
John Lister,-45202,11,married,true,false
Zeb Ornstein,-251484,1,married,true,false
Ali Clarke,-84873,20,single,true,true
Annie Ali,-70956,9,single,true,true
John Ornstein,-88631,9,married,true,false
Maryam Lister,-101119,12,single,true,false
Peter Ousterhout,-335588,4,divorced,true,true
Richard Stallman,-146903,9,single,false,true
William Hardy,-316446,14,married,true,false
Annie Olsen,-318638,8,married,false,false
Annie Hally,-84793,17,single,false,false
Sonny Harold,-242503,9,single,true,true
Nerris Hally,-107780,13,divorced,true,false
William Lister,-46075,11,married,true,false
John Ousterhout,-161772,5,divorced,true,true
Annie Wesley,-109299,14,married,true,true
Annie Robertson,-323954,1,married,false,false
John Clarke,-258576,8,divorced,false,true
Sonny Hally,-25879,14,divorced,false,false
Ali Hardy,-157985,3,married,false,true
Thomas Ornstein,-30306,0,divorced,false,true
Richard Ousterhout,-26482,14,divorced,false,false
Thomas Levy,-180885,3,divorced,true,true
Peter Ali,-280004,3,married,true,false
Zeb Harold,-140088,17,single,true,true
Paul Pixi,-24524,15,married,false,false
John Lister,-148447,6,single,false,true
William Harold,-279010,18,married,false,true
William Harold,-146095,5,married,false,true
Ali Clarke,-14350,9,divorced,true,true
Bob Robertson,-246620,13,single,false,false
Franklin Olsen,-270056,20,single,false,false
William Levy,-335644,11,married,false,true
Thomas Field,-161453,11,married,false,false
David Hardy,-334157,20,married,false,true
David Clarke,-40365,18,divorced,true,false
Maryam Robertson,-317167,1,single,false,false
Paul Pixi,-126072,1,married,false,false
Thomas George,-342308,9,married,false,true
Franklin Olsen,-62215,7,single,true,false
Daniel Harold,-326646,15,divorced,false,false
John Wesley,-116998,18,divorced,true,true
Zach Robertson,-91913,17,single,true,false
Thomas George,-251367,14,single,false,true
Ali Olsen,-168639,8,single,false,false
Annie Lister,-309561,8,married,true,false
Maryam Robertson,-14335,3,divorced,true,false
Zeb Lister,-98574,18,single,false,false
Maryam Hally,-44581,7,married,true,false
Bob Ornstein,-265465,10,married,false,false
Maryam Robertson,-312747,7,single,false,true
Sonny Olsen,-259851,2,married,true,false
Bob George,-312053,14,single,true,false
John Pixi,-316411,8,divorced,false,true
Peter Hally,-29871,18,divorced,true,false
Annie Clarke,-184808,15,divorced,false,true
Annie Stallman,-18417,2,divorced,true,false
Annie Robertson,-68755,3,divorced,true,false
Franklin Ali,-175050,9,single,true,false
James Pixi,-234543,16,divorced,false,false
Thomas Field,-303962,6,married,true,false
Daniel Levy,-246514,16,single,true,true
Ali Robertson,-213329,16,single,false,true
Paul Hardy,-342454,8,married,true,true
Franklin Hally,-6146,10,married,false,false
Franklin Hardy,-345610,18,single,true,true
Thomas Ornstein,-17202,9,single,false,false
Franklin Ali,-298395,15,divorced,false,false
Clive Lister,-234541,18,married,false,false
Annie Hardy,-68090,3,married,true,true
John Clarke,-300293,11,single,true,false
John Levy,-193466,18,married,false,false
Sonny Ornstein,-288035,8,divorced,false,true
Clive Clarke,-242406,2,married,false,false
Zeb Lister,-141045,17,married,true,false
Maryam Olsen,-122724,18,married,true,false
Ali Hardy,-336131,2,divorced,false,false
David Pixi,-296798,9,single,true,false
Maryam Hally,-156442,5,single,true,false
James Field,-108205,5,single,false,false
Peter Ali,-345190,0,single,false,true
Franklin Hally,-49663,5,divorced,false,false
Annie Lister,-344222,10,divorced,true,false
Zach Hardy,-59420,11,divorced,false,false
Maryam Ali,-134467,17,divorced,false,true
Zeb George,-278595,17,single,true,true
James Robertson,-74994,10,divorced,true,true
Peter Field,-146407,5,divorced,false,true
Paul Stallman,-40848,13,divorced,false,true
Thomas Field,-214999,11,single,false,false
Ali Harold,-174092,9,divorced,true,false
William Hardy,-2116,2,divorced,true,true
Thomas Pixi,-121694,6,single,false,false
Maryam Hally,-114600,1,single,true,true
John Field,-331094,2,divorced,false,true
Bob Lister,-152372,15,single,true,false
Franklin Levy,-178551,5,married,false,true
Zeb Ousterhout,-208042,15,married,false,true
Peter Pixi,-225942,19,married,true,true
Annie George,-115120,2,divorced,false,true
Peter Hardy,-140321,12,divorced,true,false
John Clarke,-335228,10,married,true,false
Franklin Pixi,-309434,10,single,false,true
Franklin Clarke,-306927,19,married,false,true
Daniel Stallman,-257319,15,single,true,false
Franklin Hardy,-300013,0,divorced,false,true
Zeb Field,-285733,19,divorced,true,true
Ali Lister,-335217,1,divorced,false,false
Annie Ousterhout,-225830,6,single,false,true
Sonny Levy,-117242,4,divorced,true,true
Peter Olsen,-155362,2,single,false,true
Maryam Ornstein,-182158,1,single,true,true
Bob Wesley,-137877,0,single,true,false
Sonny Hardy,-247191,5,divorced,false,true
Zach Robertson,-173356,17,divorced,true,true
Daniel George,-64769,13,single,true,false
David Harold,-310925,18,single,false,false
Thomas Lister,-174234,13,single,true,true
Zeb Robertson,-164413,8,single,false,false
Zach George,-117633,8,single,true,false
Maryam Stallman,-188463,3,single,false,true
Thomas Hardy,-15382,18,married,true,false
Paul Ousterhout,-177265,1,married,false,false
Franklin Ali,-256948,12,divorced,false,false
John Lister,-300862,5,divorced,false,true
Daniel Ali,-240781,3,single,true,false
David Wesley,-189258,20,single,true,false
Bob Stallman,-287955,4,married,false,false
Zach Lister,-240047,8,divorced,true,true
Sonny Lister,-266608,12,single,true,false
Annie Ali,-250997,9,single,false,true
Zeb Clarke,-263531,8,divorced,false,true
Zeb Wesley,-298490,4,single,true,true
John Levy,-4231,10,single,false,false
Paul Robertson,-132308,10,single,false,true
Nerris Ornstein,-182492,20,single,true,false
Nerris Stallman,-71183,11,divorced,true,false
Thomas Pixi,-327379,11,married,true,true
John Wesley,-117755,11,married,true,false
William Ousterhout,-337929,16,divorced,true,true
William Stallman,-9290,10,single,false,false
Nerris Pixi,-314435,6,single,true,false
Nerris George,-233969,7,divorced,false,false
Nerris Ornstein,-101950,15,married,true,true
Bob Hally,-112277,13,divorced,false,false
James Olsen,-32508,5,divorced,false,true
Bob Pixi,-208046,11,single,false,true
Sonny Robertson,-107206,4,married,false,true
John Lister,-29345,3,divorced,true,true
Daniel Ornstein,-18731,0,married,false,true
Bob Wesley,-284288,7,married,true,false
