name,segment,conversion,callTime,numContacts,value
Martha Stuart,a,0.00,115456,74,0
Martha Stuart,b,0.01,735706,62,0
Martha Stuart,c,0.00,185166,56,0
Martha Stuart,d,0.00,484305,153,0
Martha Stuart,e,0.00,705718,56,0
Martha Stuart,f,0.27,229449,361,19497
Martha Stuart,g,0.94,229195,209,130732
Fred Wilkins,a,0.69,130749,351,86636
Fred Wilkins,b,0.57,145035,203,47610
Fred Wilkins,c,0.68,389138,552,192375
Fred Wilkins,d,0.02,354762,137,70
Fred Wilkins,e,0.42,198236,393,41415
Fred Wilkins,f,0.01,108711,104,46
Fred Wilkins,g,0.02,684273,53,46
Bob Andrews,a,0.02,489156,61,34
Bob Andrews,b,0.02,276956,132,82
Bob Andrews,c,0.00,241105,169,0
Bob Andrews,d,0.01,281279,87,0
Bob Andrews,e,0.01,297580,86,0
Bob Andrews,f,0.00,256588,116,0
Bob Andrews,g,0.02,403998,167,132
Mary Harris,a,0.62,72696,103,43974
Mary Harris,b,0.46,150346,245,4704
Mary Harris,c,0.53,109056,138,44019
Mary Harris,d,0.00,344746,107,0
Mary Harris,e,0.82,100602,127,58240
Mary Harris,f,0.01,90878,139,40
Mary Harris,g,0.00,111199,57,0
Rebecca Davies,a,0.00,675182,165,0
Rebecca Davies,b,0.00,249602,100,0
Rebecca Davies,c,0.02,321434,151,144
Rebecca Davies,d,0.02,358269,132,68
Rebecca Davies,e,0.00,264013,158,0
Rebecca Davies,f,0.90,123365,348,168394
Rebecca Davies,g,0.55,163171,538,23895
John Stuart,a,0.01,425216,150,48
John Stuart,b,0.02,168127,52,34
John Stuart,c,0.00,814892,68,0
John Stuart,d,0.00,426242,67,0
John Stuart,e,0.01,248355,152,44
John Stuart,f,0.00,132212,71,0
John Stuart,g,0.02,454250,151,132
John Adams,a,0.00,226548,83,0
John Adams,b,0.02,212244,157,105
John Adams,c,0.00,144936,83,0
John Adams,d,0.02,265213,117,82
John Adams,e,0.02,341254,120,64
John Adams,f,0.00,288646,78,0
John Adams,g,0.00,333971,151,0
